DATE,RATE
2016-1-4,1.35944
2016-1-5,1.36498
2016-1-6,1.35904
2016-1-7,1.34245
2016-1-8,1.33422
2016-1-11,1.33885
2016-1-12,1.32906
2016-1-13,1.33217
2016-1-14,1.32655
2016-1-15,1.30327
2016-1-18,0
2016-1-19,1.29938
2016-1-20,1.29877
2016-1-21,1.31062
2016-1-22,1.3231
2016-1-25,1.31508
2016-1-26,1.32233
2016-1-27,1.31232
2016-1-28,1.31035
2016-1-29,1.30945
2016-2-1,1.31953
2016-2-2,1.32004
2016-2-3,1.31898
2016-2-4,1.3019
2016-2-5,1.29979
2016-2-8,1.29051
2016-2-9,1.2808
2016-2-10,1.2897
2016-2-11,1.27161
2016-2-12,1.28705
2016-2-15,0
2016-2-16,1.28276
2016-2-17,1.28519
2016-2-18,1.29219
2016-2-19,1.28903
2016-2-22,1.2849
2016-2-23,1.27451
2016-2-24,1.26413
2016-2-25,1.26401
2016-2-26,1.26848
2016-2-29,1.28138
2016-3-1,1.28589
2016-3-2,1.29636
2016-3-3,1.29266
2016-3-4,1.2921
2016-3-7,1.29553
2016-3-8,1.2899
2016-3-9,1.2916
2016-3-10,1.28167
2016-3-11,1.29034
2016-3-14,1.28964
2016-3-15,1.27484
2016-3-16,1.27314
2016-3-17,1.28049
2016-3-18,1.28533
2016-3-21,1.27904
2016-3-22,1.26621
2016-3-23,1.26284
2016-3-24,1.26695
2016-3-25,1.26576
2016-3-28,1.27119
2016-3-29,1.27463
2016-3-30,1.27008
2016-3-31,1.2626
2016-4-1,1.24761
2016-4-4,1.25408
2016-4-5,1.24398
2016-4-6,1.23902
2016-4-7,1.23678
2016-4-8,1.23663
2016-4-11,1.24781
2016-4-12,1.25002
2016-4-13,1.26079
2016-4-14,1.25626
2016-4-15,1.2587
2016-4-18,1.26091
2016-4-19,1.26558
2016-4-20,1.26876
2016-4-21,1.26874
2016-4-22,1.28036
2016-4-25,1.28544
2016-4-26,1.29095
2016-4-27,1.28546
2016-4-28,1.28751
2016-4-29,1.2783
2016-5-2,1.27353
2016-5-3,1.26373
2016-5-4,1.26023
2016-5-5,1.27026
2016-5-6,1.26425
2016-5-9,1.26373
2016-5-10,1.26945
2016-5-11,1.26529
2016-5-12,1.26995
2016-5-13,1.27227
2016-5-16,1.27216
2016-5-17,1.27767
2016-5-18,1.29612
2016-5-19,1.30266
2016-5-20,1.29499
2016-5-23,1.29056
2016-5-24,1.31207
2016-5-25,1.31737
2016-5-26,1.31196
2016-5-27,1.31454
2016-5-30,0
2016-5-31,1.30489
2016-6-1,1.2893
2016-6-2,1.29237
2016-6-3,1.28164
2016-6-6,1.27268
2016-6-7,1.28317
2016-6-8,1.27596
2016-6-9,1.27699
2016-6-10,1.27134
2016-6-13,1.26068
2016-6-14,1.26093
2016-6-15,1.26212
2016-6-16,1.26143
2016-6-17,1.2691
2016-6-20,1.29776
2016-6-21,1.30243
2016-6-22,1.3009
2016-6-23,1.30133
2016-6-24,1.22587
2016-6-27,1.19893
2016-6-28,1.20264
2016-6-29,1.21526
2016-6-30,1.20033
2016-7-1,1.19166
2016-7-4,0
2016-7-5,1.17518
2016-7-6,1.16647
2016-7-7,1.16819
2016-7-8,1.17213
2016-7-11,1.17574
2016-7-12,1.19532
2016-7-13,1.18611
2016-7-14,1.20011
2016-7-15,1.19306
2016-7-18,1.1989
2016-7-19,1.19148
2016-7-20,1.19733
2016-7-21,1.19971
2016-7-22,1.19356
2016-7-25,1.19581
2016-7-26,1.19565
2016-7-27,1.19166
2016-7-28,1.18542
2016-7-29,1.18822
2016-8-1,1.18191
2016-8-2,1.18717
2016-8-3,1.19382
2016-8-4,1.18044
2016-8-5,1.17951
2016-8-8,1.17729
2016-8-9,1.17102
2016-8-10,1.16355
2016-8-11,1.16046
2016-8-12,1.15772
2016-8-15,1.14957
2016-8-16,1.15447
2016-8-17,1.15529
2016-8-18,1.15996
2016-8-19,1.15319
2016-8-22,1.16077
2016-8-23,1.16546
2016-8-24,1.17591
2016-8-25,1.1688
2016-8-26,1.17184
2016-8-29,1.17054
2016-8-30,1.17345
2016-8-31,1.17791
2016-9-1,1.18572
2016-9-2,1.19188
2016-9-5,0
2016-9-6,1.19507
2016-9-7,1.18695
2016-9-8,1.18168
2016-9-9,1.18218
2016-9-12,1.18549
2016-9-13,1.17275
2016-9-14,1.1715
2016-9-15,1.17508
2016-9-16,1.17294
2016-9-19,1.16746
2016-9-20,1.1613
2016-9-21,1.16238
2016-9-22,1.16591
2016-9-23,1.15468
2016-9-26,1.15155
2016-9-27,1.16033
2016-9-28,1.16036
2016-9-29,1.15537
2016-9-30,1.15812
2016-10-3,1.14541
2016-10-4,1.13682
2016-10-5,1.13835
2016-10-6,1.13345
2016-10-7,1.11456
2016-10-10,0
2016-10-11,1.1045
2016-10-12,1.10723
2016-10-13,1.10536
2016-10-14,1.1096
2016-10-17,1.10782
2016-10-18,1.1194
2016-10-19,1.11973
2016-10-20,1.12091
2016-10-21,1.12369
2016-10-24,1.12087
2016-10-25,1.11699
2016-10-26,1.12074
2016-10-27,1.11638
2016-10-28,1.11167
2016-10-31,1.11403
2016-11-1,1.1065
2016-11-2,1.10756
2016-11-3,1.12259
2016-11-4,1.12814
2016-11-7,1.12366
2016-11-8,1.12126
2016-11-9,1.13897
2016-11-10,1.1508
2016-11-11,0
2016-11-14,1.16283
2016-11-15,1.15812
2016-11-16,1.16366
2016-11-17,1.16836
2016-11-18,1.16292
2016-11-21,1.17713
2016-11-22,1.17009
2016-11-23,1.17973
2016-11-24,0
2016-11-25,1.17622
2016-11-28,1.17351
2016-11-29,1.17683
2016-11-30,1.1799
2016-12-1,1.1845
2016-12-2,1.18929
2016-12-5,1.18512
2016-12-6,1.18559
2016-12-7,1.17159
2016-12-8,1.18344
2016-12-9,1.19438
2016-12-12,1.19527
2016-12-13,1.19276
2016-12-14,1.19238
2016-12-15,1.19412
2016-12-16,1.19338
2016-12-19,1.1891
2016-12-20,1.18941
2016-12-21,1.18446
2016-12-22,1.1769
2016-12-23,1.17255
2016-12-26,0
2016-12-27,1.1724
2016-12-28,1.17644
2016-12-29,1.16698
2016-12-30,1.16916
2017-1-2,0
2017-1-3,1.17665
2017-1-4,1.17402
2017-1-5,1.17145
2017-1-6,1.1661
2017-1-9,1.15043
2017-1-10,1.15068
2017-1-11,1.15399
2017-1-12,1.14485
2017-1-13,1.14805
2017-1-16,0
2017-1-17,1.1583
2017-1-18,1.15231
2017-1-19,1.15889
2017-1-20,0
2017-1-23,1.16248
2017-1-24,1.16578
2017-1-25,1.17472
2017-1-26,1.17891
2017-1-27,1.17222
2017-1-30,1.16824
2017-1-31,1.16593
2017-2-1,1.17522
2017-2-2,1.16099
2017-2-3,1.15864
2017-2-6,1.16019
2017-2-7,1.16801
2017-2-8,1.17137
2017-2-9,1.17433
2017-2-10,1.1739
2017-2-13,1.17985
2017-2-14,1.1785
2017-2-15,1.17628
2017-2-16,1.17045
2017-2-17,1.17091
2017-2-20,0
2017-2-21,1.1814
2017-2-22,1.1801
2017-2-23,1.18534
2017-2-24,1.18138
2017-2-27,1.17404
2017-2-28,1.17037
2017-3-1,1.16604
2017-3-2,1.16673
2017-3-3,1.16082
2017-3-6,1.15653
2017-3-7,1.15375
2017-3-8,1.15218
2017-3-9,1.14925
2017-3-10,1.13978
2017-3-13,1.14658
2017-3-14,1.14307
2017-3-15,1.14976
2017-3-16,1.15198
2017-3-17,1.15174
2017-3-20,1.1498
2017-3-21,1.15439
2017-3-22,1.15519
2017-3-23,1.16121
2017-3-24,1.15593
2017-3-27,1.15631
2017-3-28,1.15214
2017-3-29,1.15387
2017-3-30,1.16437
2017-3-31,1.1719
2017-4-3,1.17119
2017-4-4,1.16626
2017-4-5,1.17137
2017-4-6,1.17228
2017-4-7,1.16786
2017-4-10,1.17085
2017-4-11,1.17618
2017-4-12,1.17802
2017-4-13,1.17799
2017-4-14,1.17939
2017-4-17,1.18077
2017-4-18,1.1927
2017-4-19,1.19445
2017-4-20,1.1926
2017-4-21,1.19534
2017-4-24,1.17859
2017-4-25,1.1732
2017-4-26,1.18083
2017-4-27,1.1864
2017-4-28,1.18752
2017-5-1,1.18374
2017-5-2,1.18433
2017-5-3,1.18278
2017-5-4,1.17717
2017-5-5,1.1777
2017-5-8,1.1843
2017-5-9,1.18979
2017-5-10,1.19001
2017-5-11,1.18548
2017-5-12,1.17884
2017-5-15,1.17652
2017-5-16,1.16618
2017-5-17,1.16257
2017-5-18,1.16882
2017-5-19,1.16336
2017-5-22,1.15753
2017-5-23,1.15949
2017-5-24,1.15749
2017-5-25,1.15475
2017-5-26,1.14548
2017-5-29,0
2017-5-30,1.14978
2017-5-31,1.14854
2017-6-1,1.14981
2017-6-2,1.1433
2017-6-5,1.14818
2017-6-6,1.14513
2017-6-7,1.15174
2017-6-8,1.15352
2017-6-9,1.13825
2017-6-12,1.12978
2017-6-13,1.13802
2017-6-14,1.13576
2017-6-15,1.14491
2017-6-16,1.1415
2017-6-19,1.14185
2017-6-20,1.1352
2017-6-21,1.13677
2017-6-22,1.13554
2017-6-23,1.13675
2017-6-26,1.13719
2017-6-27,1.13195
2017-6-28,1.13833
2017-6-29,1.13695
2017-6-30,1.13881
2017-7-3,1.13935
2017-7-4,0
2017-7-5,1.14097
2017-7-6,1.13656
2017-7-7,1.13022
2017-7-10,1.13057
2017-7-11,1.12432
2017-7-12,1.12952
2017-7-13,1.13491
2017-7-14,1.14207
2017-7-17,1.13845
2017-7-18,1.12506
2017-7-19,1.13179
2017-7-20,1.11535
2017-7-21,1.11266
2017-7-24,1.11905
2017-7-25,1.11925
2017-7-26,1.12173
2017-7-27,1.12088
2017-7-28,1.11656
2017-7-31,1.11585
2017-8-1,1.11925
2017-8-2,1.11593
2017-8-3,1.1064
2017-8-4,1.10907
2017-8-7,1.1046
2017-8-8,1.10611
2017-8-9,1.10632
2017-8-10,1.10442
2017-8-11,1.09965
2017-8-14,1.10088
2017-8-15,1.09594
2017-8-16,1.09886
2017-8-17,1.09816
2017-8-18,1.09355
2017-8-21,1.09218
2017-8-22,1.09114
2017-8-23,1.08346
2017-8-24,1.08482
2017-8-25,1.08413
2017-8-28,1.07968
2017-8-29,1.07584
2017-8-30,1.08443
2017-8-31,1.08357
2017-9-1,1.0921
2017-9-4,0
2017-9-5,1.09252
2017-9-6,1.09462
2017-9-7,1.08863
2017-9-8,1.09717
2017-9-11,1.10105
2017-9-12,1.10963
2017-9-13,1.11094
2017-9-14,1.12721
2017-9-15,1.13538
2017-9-18,1.12959
2017-9-19,1.1283
2017-9-20,1.13052
2017-9-21,1.13645
2017-9-22,1.1305
2017-9-25,1.13542
2017-9-26,1.14016
2017-9-27,1.1408
2017-9-28,1.14088
2017-9-29,1.13451
2017-10-2,1.12967
2017-10-3,1.12688
2017-10-4,1.12823
2017-10-5,1.12182
2017-10-6,1.11345
2017-10-9,0
2017-10-10,1.11954
2017-10-11,1.11505
2017-10-12,1.11267
2017-10-13,1.12393
2017-10-16,1.12489
2017-10-17,1.12149
2017-10-18,1.11958
2017-10-19,1.11307
2017-10-20,1.11971
2017-10-23,1.12234
2017-10-24,1.11542
2017-10-25,1.12286
2017-10-26,1.12658
2017-10-27,1.13195
2017-10-30,1.13496
2017-10-31,1.1402
2017-11-1,1.14107
2017-11-2,1.1196
2017-11-3,1.12491
2017-11-6,1.13319
2017-11-7,1.13605
2017-11-8,1.13088
2017-11-9,1.12749
2017-11-10,0
2017-11-13,1.12397
2017-11-14,1.11595
2017-11-15,1.11625
2017-11-16,1.12105
2017-11-17,1.1206
2017-11-20,1.12776
2017-11-21,1.12699
2017-11-22,1.12741
2017-11-23,0
2017-11-24,1.11729
2017-11-27,1.11939
2017-11-28,1.11391
2017-11-29,1.13307
2017-11-30,1.13515
2017-12-1,1.13392
2017-12-4,1.13648
2017-12-5,1.1379
2017-12-6,1.13522
2017-12-7,1.13927
2017-12-8,1.13655
2017-12-11,1.13227
2017-12-12,1.13629
2017-12-13,1.13629
2017-12-14,1.14111
2017-12-15,1.13058
2017-12-18,1.13504
2017-12-19,1.12976
2017-12-20,1.12852
2017-12-21,1.12635
2017-12-22,1.13008
2017-12-25,0
2017-12-26,1.12657
2017-12-27,1.12611
2017-12-28,1.12533
2017-12-29,1.12535
2018-1-1,0
2018-1-2,1.1283
2018-1-3,1.12402
2018-1-4,1.12226
2018-1-5,1.12651
2018-1-8,1.13305
2018-1-9,1.13387
2018-1-10,1.13004
2018-1-11,1.1253
2018-1-12,1.12852
2018-1-15,0
2018-1-16,1.12496
2018-1-17,1.13043
2018-1-18,1.13491
2018-1-19,1.13229
2018-1-22,1.14015
2018-1-23,1.13774
2018-1-24,1.14592
2018-1-25,1.14222
2018-1-26,1.14144
2018-1-29,1.13682
2018-1-30,1.13995
2018-1-31,1.14178
2018-2-1,1.1414
2018-2-2,1.13498
2018-2-5,1.12917
2018-2-6,1.12681
2018-2-7,1.13028
2018-2-8,1.13703
2018-2-9,1.12825
2018-2-12,1.1266
2018-2-13,1.12368
2018-2-14,1.12577
2018-2-15,1.1265
2018-2-16,1.12964
2018-2-19,0
2018-2-20,1.13549
2018-2-21,1.13253
2018-2-22,1.13086
2018-2-23,1.13669
2018-2-26,1.13468
2018-2-27,1.1362
2018-2-28,1.12964
2018-3-1,1.12598
2018-3-2,1.11816
2018-3-5,1.12376
2018-3-6,1.11849
2018-3-7,1.12027
2018-3-8,1.12262
2018-3-9,1.1247
2018-3-12,1.12827
2018-3-13,1.12817
2018-3-14,1.12813
2018-3-15,1.13229
2018-3-16,1.13347
2018-3-19,1.13813
2018-3-20,1.14196
2018-3-21,1.1464
2018-3-22,1.14525
2018-3-23,1.1449
2018-3-26,1.14437
2018-3-27,1.1411
2018-3-28,1.14242
2018-3-29,1.14085
2018-3-30,1.13856
2018-4-2,1.14193
2018-4-3,1.14738
2018-4-4,1.14514
2018-4-5,1.14399
2018-4-6,1.14779
2018-4-9,1.1474
2018-4-10,1.14775
2018-4-11,1.14616
2018-4-12,1.15617
2018-4-13,1.15687
2018-4-16,1.15833
2018-4-17,1.15844
2018-4-18,1.14919
